overall,target,summary_n_sentences,summary_n_words_per_n_sentences,summary_n_chars_per_n_words,summary_dale_chall,summary_flesch_re,summary_polarity,reviewText_n_sentences,reviewText_n_words_per_n_sentences,reviewText_n_chars_per_n_words,reviewText_dale_chall,reviewText_flesch_re,reviewText_polarity,summary_BERT,reviewText_BERT,summary_BERT_sentiment,reviewText_BERT_sentiment
4,1,1,4.0,3.75,15.68,92.8,-0.2,19,20.05263157894737,4.125984251968504,7.62,77.37,0.0217391304347826,1,2,1,2
1,1,1,10.0,3.1,5.71,95.17,0.0,6,12.5,4.093333333333334,8.21,90.29,-0.0172413793103448,0,0,0,0
5,1,1,10.0,5.2,8.87,52.87,0.1,8,14.5,5.068965517241379,8.17,56.76,0.0618556701030927,2,2,2,2
4,1,1,11.0,4.727272727272728,9.92,68.77,0.1818181818181818,27,14.88888888888889,4.3681592039801,6.96,72.66,0.0402010050251256,0,2,0,2
4,1,1,11.0,3.5454545454545454,7.05,94.15,0.1818181818181818,31,21.516129032258064,4.4767616191904045,8.26,67.38,0.0351437699680511,2,2,2,2
5,1,2,5.0,4.2,7.04,91.78,0.0833333333333333,5,18.8,4.9361702127659575,8.5,69.72,0.0735294117647058,2,2,2,2
5,1,1,6.0,5.166666666666667,11.83,73.85,0.3333333333333333,12,18.0,4.416666666666667,7.72,71.04,0.0546875,2,2,2,2
4,1,2,3.0,4.333333333333333,0.3,99.23,0.2857142857142857,30,15.266666666666667,4.735807860262009,8.19,72.87,0.022140221402214,2,1,2,1
5,1,1,11.0,4.0,7.05,85.69,0.2727272727272727,19,20.73684210526316,4.104060913705584,7.55,76.76,0.034313725490196,2,2,2,2
5,1,1,8.0,3.75,9.95,105.66,0.0,24,18.08333333333333,3.921658986175115,8.04,81.26,0.004524886877828,1,2,1,2
5,1,1,3.0,8.666666666666666,19.58,-24.64,0.3333333333333333,11,15.363636363636363,4.715976331360947,8.44,72.87,0.032258064516129,2,1,2,1
5,1,1,2.0,4.0,11.63,120.21,0.3333333333333333,4,21.75,3.9195402298850577,8.09,75.74,0.0895522388059701,2,2,2,2
5,1,1,3.0,5.0,9.05,93.81,0.25,9,10.666666666666666,3.9895833333333335,7.95,86.6,0.1076923076923077,2,2,2,2
5,1,1,5.0,5.0,10.2,49.48,0.2,6,14.833333333333334,4.056179775280899,7.95,81.93,0.0317460317460317,2,1,2,1
4,1,1,9.0,5.111111111111111,9.35,79.26,0.0,4,13.75,3.854545454545456,7.62,92.12,0.0444444444444444,1,2,1,2
4,1,1,6.0,3.5,6.57,99.23,0.0,7,27.285714285714285,4.219895287958115,8.41,69.55,0.0,0,1,0,1
5,1,1,10.0,4.5,8.87,78.25,0.1,11,20.0,4.595454545454546,9.0,77.37,0.0408163265306122,2,2,2,2
5,1,1,2.0,8.0,11.63,-6.7,0.5,5,22.0,3.3181818181818183,6.61,91.85,0.0779220779220779,2,2,2,2
4,1,1,8.0,4.0,6.01,105.66,0.2857142857142857,17,15.647058823529411,4.2593984962406015,7.43,81.73,0.0066225165562913,2,1,2,1
5,1,1,3.0,2.6666666666666665,0.1,120.21,0.3333333333333333,6,20.166666666666668,4.214876033057851,9.29,69.11,0.0333333333333333,2,1,2,1
5,1,1,7.0,4.142857142857143,6.57,73.85,0.1428571428571428,6,9.666666666666666,3.7413793103448274,6.68,95.98,0.0465116279069767,2,2,2,2
4,1,1,3.0,2.333333333333333,0.15,119.19,0.0,9,14.555555555555555,3.7099236641221376,6.85,91.21,0.0609756097560975,2,2,2,2
5,1,1,3.0,4.666666666666667,0.15,119.19,0.3333333333333333,6,7.833333333333333,4.297872340425532,7.38,97.4,0.1162790697674418,2,2,2,2
5,1,1,3.0,3.6666666666666665,0.15,119.19,0.6666666666666666,3,14.333333333333334,4.0,7.4,91.41,0.0606060606060606,2,2,2,2
5,1,1,3.0,5.666666666666667,9.05,34.59,0.3333333333333333,19,13.63157894736842,4.274131274131274,7.58,82.24,0.0533333333333333,2,2,2,2
3,1,1,4.0,3.25,0.2,118.18,-0.25,7,19.714285714285715,3.869565217391304,6.85,86.13,0.0470588235294117,0,1,0,1
5,1,1,9.0,3.7777777777777777,5.84,96.18,0.2857142857142857,13,19.307692307692307,4.302788844621514,6.73,77.27,0.0074626865671641,2,1,2,1
3,1,1,6.0,4.5,7.04,66.4,0.0,18,15.77777777777778,4.23943661971831,7.3,71.44,0.0178571428571428,1,1,1,1
5,1,1,3.0,7.0,9.05,9.21,0.6666666666666666,4,10.75,5.186046511627907,9.22,65.73,0.081081081081081,2,2,2,2
5,1,1,3.0,8.0,14.31,9.21,0.3333333333333333,8,10.875,4.459770114942529,9.03,76.52,0.125,2,2,2,2
5,1,1,3.0,5.0,9.05,93.81,0.0,3,15.666666666666666,4.361702127659575,7.89,90.09,0.131578947368421,2,2,2,2
3,1,1,5.0,4.0,7.04,100.24,-0.2,3,13.666666666666666,3.8780487804878048,7.12,92.12,-0.0285714285714285,1,0,1,0
4,1,1,1.0,8.0,19.48,-47.99,1.0,5,14.4,4.055555555555555,7.1,91.51,0.0,1,1,1,1
2,1,1,3.0,3.333333333333333,0.15,119.19,0.0,7,13.571428571428571,4.315789473684211,7.67,84.07,0.0142857142857142,1,1,1,1
2,1,1,3.0,5.666666666666667,14.31,34.59,0.0,8,10.125,4.037037037037037,7.05,94.15,0.0307692307692307,0,1,0,1
2,1,1,2.0,5.0,11.63,120.21,0.0,5,13.0,4.092307692307692,6.52,84.07,0.0416666666666666,1,1,1,1
5,1,1,5.0,5.2,10.2,66.4,0.0,9,18.55555555555556,3.958083832335329,7.56,87.15,0.0,2,2,2,2
5,1,1,1.0,6.0,0.05,36.62,1.0,2,10.0,4.85,9.09,70.29,0.1666666666666666,2,2,2,2
5,1,1,6.0,6.0,11.83,48.47,0.3333333333333333,19,17.68421052631579,4.300595238095238,6.92,77.98,0.0418848167539267,2,2,2,2
5,1,1,2.0,5.0,11.63,120.21,0.5,4,9.0,3.4166666666666665,7.31,105.15,0.1034482758620689,2,2,2,2
5,1,1,4.0,5.0,7.78,75.88,0.2,9,13.0,4.418803418803419,7.12,75.2,0.0123456790123456,2,2,2,2
5,1,1,5.0,5.8,0.25,83.32,0.4,17,14.588235294117649,4.120967741935484,6.59,90.5,0.037593984962406,2,1,2,1
5,1,1,10.0,5.0,5.71,69.79,0.0,10,9.9,4.191919191919192,7.45,87.82,0.0405405405405405,2,2,2,2
5,1,1,8.0,4.875,6.01,88.74,0.0,9,15.88888888888889,3.86013986013986,7.07,90.09,0.0454545454545454,0,2,0,2
4,1,1,3.0,4.666666666666667,14.31,119.19,0.0,4,20.0,3.625,6.85,94.19,0.08,1,2,1,2
5,1,1,11.0,3.909090909090909,8.49,94.15,0.1666666666666666,24,17.416666666666668,4.038277511961723,7.64,86.94,0.0321100917431192,2,2,2,2
5,1,1,3.0,8.666666666666666,19.58,-24.64,0.3333333333333333,19,12.736842105263158,4.024793388429752,6.87,85.18,0.0139860139860139,2,0,2,0
5,1,1,11.0,4.181818181818182,7.05,68.77,0.1818181818181818,35,17.914285714285715,4.07177033492823,7.2,87.15,0.032258064516129,2,2,2,2
5,1,1,6.0,4.5,11.83,99.23,0.0,35,17.314285714285713,4.0495049504950495,7.22,88.57,0.0398671096345514,1,1,1,1
5,1,1,8.0,3.125,0.4,114.12,0.125,4,37.5,4.8533333333333335,9.1,50.84,0.0256410256410256,1,2,1,2
5,1,1,5.0,4.4,7.04,100.24,0.2,2,20.0,4.15,9.98,86.03,0.081081081081081,2,2,2,2
5,1,1,3.0,6.333333333333333,14.31,93.81,0.0,5,13.0,4.323076923076923,7.2,92.12,0.06,2,1,2,1
5,1,1,8.0,4.875,6.01,71.82,0.25,13,12.76923076923077,4.198795180722891,6.72,82.95,0.0357142857142857,2,2,2,2
5,1,2,5.0,5.1,7.04,66.4,0.0909090909090909,17,13.117647058823527,3.9192825112107625,6.72,83.76,0.0073529411764705,2,1,2,1
5,1,2,3.0,4.833333333333333,10.2,83.32,0.1428571428571428,46,16.152173913043477,4.344549125168236,7.83,79.4,0.0358974358974358,2,1,2,1
1,1,2,3.0,4.0,9.05,102.27,0.0,5,22.6,4.327433628318584,7.55,73.92,-0.0238095238095238,0,0,0,0
5,1,1,10.0,3.8,5.71,95.17,0.0,8,12.875,3.679611650485437,6.37,84.68,0.0144927536231884,1,2,1,2
2,1,3,2.0,2.1666666666666665,0.15,119.19,0.25,5,14.8,4.418918918918919,8.85,81.83,0.0526315789473684,2,1,2,1
4,1,1,6.0,4.666666666666667,9.2,99.23,0.0,12,16.5,3.7222222222222223,6.94,89.48,0.0588235294117647,1,1,1,1
5,1,1,3.0,4.0,9.05,119.19,0.25,8,15.75,4.317460317460317,8.09,73.27,0.0444444444444444,2,2,2,2
5,1,1,1.0,5.0,19.48,121.22,0.5,10,8.6,4.069767441860465,6.24,82.95,0.0735294117647058,0,2,0,2
5,1,1,4.0,3.75,0.2,92.8,0.2,7,8.285714285714286,4.724137931034483,9.65,78.75,0.0576923076923076,2,1,2,1
2,1,1,4.0,4.0,7.78,75.88,0.0,8,16.625,4.105263157894737,6.86,88.67,0.0581395348837209,0,0,0,0
5,1,1,2.0,5.0,0.1,77.91,0.5,7,17.142857142857142,4.108333333333333,7.35,71.85,0.048780487804878,2,2,2,2
1,1,1,3.0,4.0,9.05,119.19,0.0,4,8.0,4.53125,8.34,78.25,0.0333333333333333,1,0,1,0
5,1,1,4.0,3.75,0.2,92.8,0.0,4,22.0,4.363636363636363,8.85,66.07,0.125,1,2,1,2
5,1,1,8.0,4.25,7.98,105.66,0.0,9,16.666666666666668,4.473333333333334,8.53,71.85,0.0416666666666666,1,2,1,2
4,1,1,2.0,7.5,11.63,35.61,0.5,3,13.666666666666666,4.170731707317073,6.24,99.87,0.1025641025641025,2,2,2,2
5,1,1,4.0,4.5,14.31,59.97,0.25,4,9.0,3.888888888888889,8.35,79.97,0.0625,2,2,2,2
5,1,1,5.0,7.8,16.52,15.64,0.2,5,17.2,4.209302325581396,6.76,80.21,0.078125,1,2,1,2
5,1,1,4.0,5.0,15.68,75.88,0.5,8,10.375,4.0,6.84,87.31,0.0655737704918032,1,2,1,2
